Type,Scope,Prefix,Tag,Subtag,Suppress-Script,Description,Macrolanguage,Added,Deprecated,Preferred-Value,Comments
language,,,,bvp,,Bumang,,9/10/2013,,,
language,,,,bvq,,Birri,,7/29/2009,,,
language,,,,bvr,,Burarra,,7/29/2009,,,
language,,,,bvt,,Bati (Indonesia),,7/29/2009,,,
language,,,,bvu,,Bukit Malay,ms,7/29/2009,,,
language,,,,bvv,,Baniva,,7/29/2009,,,
language,,,,bvw,,Boga,,7/29/2009,,,
language,,,,bvx,,Dibole,,7/29/2009,,,
language,,,,bvy,,Baybayanon,,3/11/2010,,,
language,,,,bvz,,Bauzi,,7/29/2009,,,
language,,,,bwa,,Bwatoo,,7/29/2009,,,
language,,,,bwb,,Namosi-Naitasiri-Serua,,7/29/2009,,,
language,,,,bwc,,Bwile,,7/29/2009,,,
language,,,,bwd,,Bwaidoka,,7/29/2009,,,
language,,,,bwe,,Bwe Karen,,7/29/2009,,,
language,,,,bwf,,Boselewa,,7/29/2009,,,
language,,,,bwg,,Barwe,,7/29/2009,,,
language,,,,bwh,,Bishuo,,7/29/2009,,,
language,,,,bwi,,Baniwa,,7/29/2009,,,
language,,,,bwj,,Láá Láá Bwamu,,7/29/2009,,,
language,,,,bwk,,Bauwaki,,7/29/2009,,,
language,,,,bwl,,Bwela,,7/29/2009,,,
language,,,,bwm,,Biwat,,7/29/2009,,,
language,,,,bwn,,Wunai Bunu,,7/29/2009,,,
language,,,,bwo,,"Boro (Ethiopia), Borna (Ethiopia)",,7/29/2009,,,
language,,,,bwp,,Mandobo Bawah,,7/29/2009,,,
language,,,,bwq,,Southern Bobo Madaré,,7/29/2009,,,
language,,,,bwr,,Bura-Pabir,,7/29/2009,,,
language,,,,bws,,Bomboma,,7/29/2009,,,
language,,,,bwt,,Bafaw-Balong,,7/29/2009,,,
language,,,,bwu,,Buli (Ghana),,7/29/2009,,,
language,,,,bww,,Bwa,,7/29/2009,,,
language,,,,bwx,,Bu-Nao Bunu,,7/29/2009,,,
language,,,,bwy,,Cwi Bwamu,,7/29/2009,,,
language,,,,bwz,,Bwisi,,7/29/2009,,,
language,,,,bxa,,Tairaha,,7/29/2009,,,
language,,,,bxb,,Belanda Bor,,7/29/2009,,,
language,,,,bxc,,Molengue,,7/29/2009,,,
language,,,,bxd,,Pela,,7/29/2009,,,
language,,,,bxe,,Birale,,7/29/2009,,,
language,,,,bxf,,"Bilur, Minigir",,7/29/2009,,,see also vmg
language,,,,bxg,,Bangala,,7/29/2009,,,
language,,,,bxh,,Buhutu,,7/29/2009,,,
language,,,,bxi,,Pirlatapa,,7/29/2009,,,
language,,,,bxj,,Bayungu,,7/29/2009,,,
language,,,,bxk,,"Bukusu, Lubukusu",luy,7/29/2009,,,
language,,,,bxl,,Jalkunan,,7/29/2009,,,
language,,,,bxm,,Mongolia Buriat,bua,7/29/2009,,,
language,,,,bxn,,Burduna,,7/29/2009,,,
language,,,,bxo,,Barikanchi,,7/29/2009,,,
language,,,,bxp,,Bebil,,7/29/2009,,,
language,,,,bxq,,Beele,,7/29/2009,,,
language,,,,bxr,,Russia Buriat,bua,7/29/2009,,,
language,,,,bxs,,Busam,,7/29/2009,,,
language,,,,bxu,,China Buriat,bua,7/29/2009,,,
language,,,,bxv,,Berakou,,7/29/2009,,,
language,,,,bxw,,Bankagooma,,7/29/2009,,,
language,,,,bxx,,Borna (Democratic Republic of Congo),,7/29/2009,2015-02-12,,
language,,,,bxz,,Binahari,,7/29/2009,,,
language,,,,bya,,Batak,,7/29/2009,,,
language,,,,byb,,Bikya,,7/29/2009,,,
language,,,,byc,,Ubaghara,,7/29/2009,,,
language,,,,byd,,Benyadu',,7/29/2009,,,
language,,,,bye,,Pouye,,7/29/2009,,,
language,,,,byf,,Bete,,7/29/2009,,,
language,,,,byg,,Baygo,,7/29/2009,,,
language,,,,byh,,Bhujel,,7/29/2009,,,
language,,,,byi,,Buyu,,7/29/2009,,,
language,,,,byj,,Bina (Nigeria),,7/29/2009,,,
language,,,,byk,,Biao,,7/29/2009,,,
language,,,,byl,,Bayono,,7/29/2009,,,
language,,,,bym,,Bidyara,,7/29/2009,,,
language,,,,byn,,"Bilin, Blin",,10/16/2005,,,
language,,,,byo,,Biyo,,7/29/2009,,,
language,,,,byp,,Bumaji,,7/29/2009,,,
language,,,,byq,,Basay,,7/29/2009,,,
language,,,,byr,,"Baruya, Yipma",,7/29/2009,,,
language,,,,bys,,Burak,,7/29/2009,,,
language,,,,byt,,Berti,,7/29/2009,,,
language,,,,byv,,Medumba,,7/29/2009,,,
language,,,,byw,,Belhariya,,7/29/2009,,,
language,,,,byx,,Qaqet,,7/29/2009,,,
language,,,,byy,,Buya,,7/29/2009,2015-02-12,,
language,,,,byz,,Banaro,,7/29/2009,,,
language,,,,bza,,Bandi,,7/29/2009,,,
language,,,,bzb,,Andio,,7/29/2009,,,
language,,,,bzc,,Southern Betsimisaraka Malagasy,mg,8/16/2011,,,
language,,,,bzd,,Bribri,,7/29/2009,,,
language,,,,bze,,Jenaama Bozo,,7/29/2009,,,
language,,,,bzf,,Boikin,,7/29/2009,,,
language,,,,bzg,,Babuza,,7/29/2009,,,
language,,,,bzh,,Mapos Buang,,7/29/2009,,,
language,,,,bzi,,Bisu,,7/29/2009,,,
language,,,,bzj,,Belize Kriol English,,7/29/2009,,,
language,,,,bzk,,Nicaragua Creole English,,7/29/2009,,,
language,,,,bzl,,Boano (Sulawesi),,7/29/2009,,,
language,,,,bzm,,Bolondo,,7/29/2009,,,
language,,,,bzn,,Boano (Maluku),,7/29/2009,,,
language,,,,bzo,,Bozaba,,7/29/2009,,,
language,,,,bzp,,Kemberano,,7/29/2009,,,
language,,,,bzq,,Buli (Indonesia),,7/29/2009,,,
language,,,,bzr,,Biri,,7/29/2009,,,
language,,,,bzs,,Brazilian Sign Language,,7/29/2009,,,
language,,,,bzt,,Brithenig,,7/29/2009,,,
language,,,,bzu,,Burmeso,,7/29/2009,,,
language,,,,bzv,,Naami,,7/29/2009,,,
language,,,,bzw,,Basa (Nigeria),,7/29/2009,,,
language,,,,bzx,,Kɛlɛngaxo Bozo,,7/29/2009,,,
language,,,,bzy,,Obanliku,,7/29/2009,,,
language,,,,bzz,,Evant,,7/29/2009,,,
language,,,,caa,,Chortí,,7/29/2009,,,
language,,,,cab,,Garifuna,,7/29/2009,,,
language,,,,cac,,Chuj,,7/29/2009,,,
language,,,,cad,,Caddo,,10/16/2005,,,
language,,,,cae,,"Lehar, Laalaa",,7/29/2009,,,
language,,,,caf,,Southern Carrier,,7/29/2009,,,
language,,,,cag,,Nivaclé,,7/29/2009,,,
language,,,,cah,,Cahuarano,,7/29/2009,,,
language,collection,,,cai,,Central American Indian languages,,10/16/2005,,,
language,,,,caj,,Chané,,7/29/2009,,,
language,,,,cak,,"Kaqchikel, Cakchiquel",,7/29/2009,,,
language,,,,cal,,Carolinian,,7/29/2009,,,
language,,,,cam,,Cemuhî,,7/29/2009,,,
language,,,,can,,Chambri,,7/29/2009,,,
language,,,,cao,,Chácobo,,7/29/2009,,,
language,,,,cap,,Chipaya,,7/29/2009,,,
language,,,,caq,,Car Nicobarese,,7/29/2009,,,
language,,,,car,,Galibi Carib,,10/16/2005,,,
language,,,,cas,,Tsimané,,7/29/2009,,,
language,collection,,,cau,,Caucasian languages,,10/16/2005,,,
language,,,,cav,,Cavineña,,7/29/2009,,,
language,,,,caw,,Callawalla,,7/29/2009,,,
language,,,,cax,,Chiquitano,,7/29/2009,,,
language,,,,cay,,Cayuga,,7/29/2009,,,
language,,,,caz,,Canichana,,7/29/2009,,,
language,collection,,,cba,,Chibchan languages,,7/29/2009,,,
language,,,,cbb,,Cabiyarí,,7/29/2009,,,
language,,,,cbc,,Carapana,,7/29/2009,,,
language,,,,cbd,,Carijona,,7/29/2009,,,
language,,,,cbe,,Chipiajes,,7/29/2009,2016-05-30,,
language,,,,cbg,,Chimila,,7/29/2009,,,
language,,,,cbh,,Cagua,,7/29/2009,2016-05-30,,
language,,,,cbi,,Chachi,,7/29/2009,,,
language,,,,cbj,,Ede Cabe,,7/29/2009,,,
language,,,,cbk,,Chavacano,,7/29/2009,,,
language,,,,cbl,,Bualkhaw Chin,,7/29/2009,,,
language,,,,cbn,,Nyahkur,,7/29/2009,,,
language,,,,cbo,,Izora,,7/29/2009,,,
language,,,,cbq,,"Tsucuba, Cuba",,2/12/2015,,,
language,,,,cbr,,Cashibo-Cacataibo,,7/29/2009,,,
language,,,,cbs,,Cashinahua,,7/29/2009,,,
language,,,,cbt,,Chayahuita,,7/29/2009,,,
language,,,,cbu,,Candoshi-Shapra,,7/29/2009,,,
language,,,,cbv,,Cacua,,7/29/2009,,,
language,,,,cbw,,Kinabalian,,3/11/2010,,,
language,,,,cby,,Carabayo,,7/29/2009,,,
language,,,,cca,,Cauca,,7/29/2009,,,
language,,,,ccc,,Chamicuro,,7/29/2009,,,
language,,,,ccd,,Cafundo Creole,,7/29/2009,,,
language,,,,cce,,Chopi,,7/29/2009,,,
language,,,,ccg,,Samba Daka,,7/29/2009,,,
language,,,,cch,,Atsam,,7/29/2009,,,
language,,,,ccj,,Kasanga,,7/29/2009,,,
language,,,,ccl,,Cutchi-Swahili,,7/29/2009,,,
language,,,,ccm,,Malaccan Creole Malay,,7/29/2009,,,
language,collection,,,ccn,,North Caucasian languages,,7/29/2009,,,
language,,,,cco,,Comaltepec Chinantec,,7/29/2009,,,
language,,,,ccp,,Chakma,,7/29/2009,,,
language,,,,ccq,,Chaungtha,,7/29/2009,2012-08-12,rki,
language,,,,ccr,,Cacaopera,,7/29/2009,,,
language,collection,,,ccs,,South Caucasian languages,,7/29/2009,,,
language,,,,cda,,Choni,,7/29/2009,,,
language,collection,,,cdc,,Chadic languages,,7/29/2009,,,
language,collection,,,cdd,,Caddoan languages,,7/29/2009,,,
language,,,,cde,,Chenchu,,7/29/2009,,,
language,,,,cdf,,Chiru,,7/29/2009,,,
language,,,,cdg,,Chamari,,7/29/2009,,,
language,,,,cdh,,Chambeali,,7/29/2009,,,
language,,,,cdi,,Chodri,,7/29/2009,,,
language,,,,cdj,,Churahi,,7/29/2009,,,
language,,,,cdm,,Chepang,,7/29/2009,,,
language,,,,cdn,,Chaudangsi,,7/29/2009,,,
language,,,,cdo,,Min Dong Chinese,zh,7/29/2009,,,
language,,,,cdr,,Cinda-Regi-Tiyal,,7/29/2009,,,
language,,,,cds,,Chadian Sign Language,,7/29/2009,,,
language,,,,cdy,,Chadong,,7/29/2009,,,
language,,,,cdz,,Koda,,7/29/2009,,,
language,,,,cea,,Lower Chehalis,,7/29/2009,,,
language,,,,ceb,,Cebuano,,10/16/2005,,,
language,,,,ceg,,Chamacoco,,7/29/2009,,,
language,,,,cek,,Eastern Khumi Chin,,8/12/2012,,,
language,collection,,,cel,,Celtic languages,,10/16/2005,,,
language,,,,cen,,Cen,,7/29/2009,,,
language,,,,cet,,Centúúm,,7/29/2009,,,
language,,,,cfa,,Dijim-Bwilim,,7/29/2009,,,
language,,,,cfd,,Cara,,7/29/2009,,,
language,,,,cfg,,Como Karim,,7/29/2009,,,
language,,,,cfm,,Falam Chin,,7/29/2009,,,
language,,,,cga,,Changriwa,,7/29/2009,,,
language,,,,cgc,,Kagayanen,,7/29/2009,,,
language,,,,cgg,,Chiga,,7/29/2009,,,
language,,,,cgk,,Chocangacakha,,7/29/2009,,,
language,,,,chb,,Chibcha,,10/16/2005,,,
language,,,,chc,,Catawba,,7/29/2009,,,
language,,,,chd,,Highland Oaxaca Chontal,,7/29/2009,,,
language,,,,chf,,Tabasco Chontal,,7/29/2009,,,
language,,,,chg,,Chagatai,,10/16/2005,,,
language,,,,chh,,Chinook,,7/29/2009,,,
language,,,,chj,,Ojitlán Chinantec,,7/29/2009,,,
language,,,,chk,,Chuukese,,10/16/2005,,,
language,,,,chl,,Cahuilla,,7/29/2009,,,
language,macrolanguage,,,chm,,Mari (Russia),,10/16/2005,,,
language,,,,chn,,Chinook jargon,,10/16/2005,,,
language,,,,cho,,Choctaw,,10/16/2005,,,
language,,,,chp,,"Chipewyan, Dene Suline",,10/16/2005,,,
language,,,,chq,,Quiotepec Chinantec,,7/29/2009,,,
language,,,,chr,,Cherokee,,10/16/2005,,,
language,,,,cht,,Cholón,,7/29/2009,,,
language,,,,chw,,Chuwabu,,7/29/2009,,,
language,,,,chx,,Chantyal,,7/29/2009,,,
language,,,,chy,,Cheyenne,,10/16/2005,,,
language,,,,chz,,Ozumacín Chinantec,,7/29/2009,,,
language,,,,cia,,Cia-Cia,,7/29/2009,,,
language,,,,cib,,Ci Gbe,,7/29/2009,,,
language,,,,cic,,Chickasaw,,7/29/2009,,,
language,,,,cid,,Chimariko,,7/29/2009,,,
language,,,,cie,,Cineni,,7/29/2009,,,
language,,,,cih,,Chinali,,7/29/2009,,,
language,,,,cik,,Chitkuli Kinnauri,,7/29/2009,,,
language,,,,cim,,Cimbrian,,7/29/2009,,,
language,,,,cin,,Cinta Larga,,7/29/2009,,,
language,,,,cip,,Chiapanec,,7/29/2009,,,
language,,,,cir,,"Tiri, Haméa, Méa",,7/29/2009,,,
language,,,,ciw,,Chippewa,oj,7/29/2009,,,
language,,,,ciy,,Chaima,,7/29/2009,,,
language,,,,cja,,Western Cham,,7/29/2009,,,
language,,,,cje,,Chru,,7/29/2009,,,
language,,,,cjh,,Upper Chehalis,,7/29/2009,,,
language,,,,cji,,Chamalal,,7/29/2009,,,
language,,,,cjk,,Chokwe,,7/29/2009,,,
language,,,,cjm,,Eastern Cham,,7/29/2009,,,
language,,,,cjn,,Chenapian,,7/29/2009,,,
language,,,,cjo,,Ashéninka Pajonal,,7/29/2009,,,
language,,,,cjp,,Cabécar,,7/29/2009,,,
language,,,,cjr,,Chorotega,,7/29/2009,2010-03-11,mom,
language,,,,cjs,,Shor,,7/29/2009,,,
language,,,,cjv,,Chuave,,7/29/2009,,,
language,,,,cjy,,Jinyu Chinese,zh,7/29/2009,,,
language,,,,cka,,Khumi Awa Chin,,7/29/2009,2012-08-12,cmr,
language,,,,ckb,,Central Kurdish,ku,7/29/2009,,,
language,,,,ckh,,Chak,,7/29/2009,,,
language,,,,ckl,,Cibak,,7/29/2009,,,
language,,,,ckn,,Kaang Chin,,9/10/2013,,,
language,,,,cko,,Anufo,,7/29/2009,,,
language,,,,ckq,,Kajakse,,7/29/2009,,,
language,,,,ckr,,Kairak,,7/29/2009,,,
language,,,,cks,,Tayo,,7/29/2009,,,
language,,,,ckt,,Chukot,,7/29/2009,,,
language,,,,cku,,Koasati,,7/29/2009,,,
language,,,,ckv,,Kavalan,,7/29/2009,,,
language,,,,ckx,,Caka,,7/29/2009,,,
language,,,,cky,,Cakfem-Mushere,,7/29/2009,,,
language,,,,ckz,,Cakchiquel-Quiché Mixed Language,,7/29/2009,,,
language,,,,cla,,Ron,,7/29/2009,,,
language,,,,clc,,Chilcotin,,7/29/2009,,,
language,,,,cld,,Chaldean Neo-Aramaic,syr,7/29/2009,,,
language,,,,cle,,Lealao Chinantec,,7/29/2009,,,
language,,,,clh,,Chilisso,,7/29/2009,,,
language,,,,cli,,Chakali,,7/29/2009,,,
language,,,,clj,,Laitu Chin,,8/12/2012,,,
language,,,,clk,,Idu-Mishmi,,7/29/2009,,,
language,,,,cll,,Chala,,7/29/2009,,,
language,,,,clm,,Clallam,,7/29/2009,,,
language,,,,clo,,Lowland Oaxaca Chontal,,7/29/2009,,,
language,,,,clt,,Lautu Chin,,8/12/2012,,,
language,,,,clu,,Caluyanun,,7/29/2009,,,
language,,,,clw,,Chulym,,7/29/2009,,,
language,,,,cly,,Eastern Highland Chatino,,7/29/2009,,,
language,,,,cma,,Maa,,7/29/2009,,,
language,collection,,,cmc,,Chamic languages,,10/16/2005,,,
language,,,,cme,,Cerma,,7/29/2009,,,
language,,,,cmg,,Classical Mongolian,,7/29/2009,,,
language,,,,cmi,,Emberá-Chamí,,7/29/2009,,,
language,,,,cmk,,Chimakum,,7/29/2009,2010-03-11,xch,
language,,,,cml,,Campalagian,,7/29/2009,,,
language,,,,cmm,,Michigamea,,7/29/2009,,,
language,,,,cmn,,Mandarin Chinese,zh,7/29/2009,,,
language,,,,cmo,,Central Mnong,,7/29/2009,,,
language,,,,cmr,,Mro-Khimi Chin,,7/29/2009,,,
language,,,,cms,,Messapic,,7/29/2009,,,
language,,,,cmt,,Camtho,,7/29/2009,,,
language,,,,cna,,Changthang,,7/29/2009,,,
language,,,,cnb,,Chinbon Chin,,7/29/2009,,,
language,,,,cnc,,Côông,,7/29/2009,,,
language,,,,cng,,Northern Qiang,,7/29/2009,,,
language,,,,cnh,,"Hakha Chin, Haka Chin",,7/29/2009,,,
language,,,,cni,,Asháninka,,7/29/2009,,,
language,,,,cnk,,Khumi Chin,,7/29/2009,,,
language,,,,cnl,,Lalana Chinantec,,7/29/2009,,,
language,,,,cno,,Con,,7/29/2009,,,
language,,,,cns,,Central Asmat,,7/29/2009,,,
language,,,,cnt,,Tepetotutla Chinantec,,7/29/2009,,,
language,,,,cnu,,Chenoua,,7/29/2009,,,
language,,,,cnw,,Ngawn Chin,,7/29/2009,,,
language,,,,cnx,,Middle Cornish,,7/29/2009,,,
language,,,,coa,,Cocos Islands Malay,ms,7/29/2009,,,
language,,,,cob,,Chicomuceltec,,7/29/2009,,,
language,,,,coc,,Cocopa,,7/29/2009,,,
language,,,,cod,,Cocama-Cocamilla,,7/29/2009,,,
language,,,,coe,,Koreguaje,,7/29/2009,,,
language,,,,cof,,Colorado,,7/29/2009,,,
language,,,,cog,,Chong,,7/29/2009,,,
language,,,,coh,,"Chonyi-Dzihana-Kauma, Chichonyi-Chidzihana-Chikauma",,7/29/2009,,,
language,,,,coj,,Cochimi,,7/29/2009,,,
language,,,,cok,,Santa Teresa Cora,,7/29/2009,,,
language,,,,col,,Columbia-Wenatchi,,7/29/2009,,,
language,,,,com,,Comanche,,7/29/2009,,,
language,,,,con,,Cofán,,7/29/2009,,,
language,,,,coo,,Comox,,7/29/2009,,,
language,,,,cop,,Coptic,,10/16/2005,,,
language,,,,coq,,Coquille,,7/29/2009,,,
language,,,,cot,,Caquinte,,7/29/2009,,,
language,,,,cou,,Wamey,,7/29/2009,,,
language,,,,cov,,Cao Miao,,7/29/2009,,,
language,,,,cow,,Cowlitz,,7/29/2009,,,
language,,,,cox,,Nanti,,7/29/2009,,,
language,,,,coy,,Coyaima,,7/29/2009,2016-05-30,pij,
language,,,,coz,,Chochotec,,7/29/2009,,,
language,,,,cpa,,Palantla Chinantec,,7/29/2009,,,
language,,,,cpb,,Ucayali-Yurúa Ashéninka,,7/29/2009,,,
language,,,,cpc,,Ajyíninka Apurucayali,,7/29/2009,,,
language,collection,,,cpe,,English-based creoles and pidgins,,10/16/2005,,,
language,collection,,,cpf,,French-based creoles and pidgins,,10/16/2005,,,
language,,,,cpg,,Cappadocian Greek,,7/29/2009,,,
language,,,,cpi,,Chinese Pidgin English,,7/29/2009,,,
language,,,,cpn,,Cherepon,,7/29/2009,,,
language,,,,cpo,,Kpeego,,9/10/2013,,,
language,collection,,,cpp,,Portuguese-based creoles and pidgins,,10/16/2005,,,
language,,,,cps,,Capiznon,,7/29/2009,,,
language,,,,cpu,,Pichis Ashéninka,,7/29/2009,,,
language,,,,cpx,,Pu-Xian Chinese,zh,7/29/2009,,,
language,,,,cpy,,South Ucayali Ashéninka,,7/29/2009,,,
language,,,,cqd,,Chuanqiandian Cluster Miao,hmn,7/29/2009,,,
language,,,,cqu,,Chilean Quechua,qu,7/29/2009,2016-05-30,quh,
language,,,,cra,,Chara,,7/29/2009,,,
language,,,,crb,,Island Carib,,7/29/2009,,,
language,,,,crc,,Lonwolwol,,7/29/2009,,,
language,,,,crd,,Coeur d'Alene,,7/29/2009,,,
language,,,,crf,,Caramanta,,7/29/2009,,,
language,,,,crg,,Michif,,7/29/2009,,,
language,,,,crh,,"Crimean Tatar, Crimean Turkish",,10/16/2005,,,
language,,,,cri,,Sãotomense,,7/29/2009,,,
language,,,,crj,,Southern East Cree,cr,7/29/2009,,,
language,,,,crk,,Plains Cree,cr,7/29/2009,,,
language,,,,crl,,Northern East Cree,cr,7/29/2009,,,
language,,,,crm,,Moose Cree,cr,7/29/2009,,,
language,,,,crn,,El Nayar Cora,,7/29/2009,,,
language,,,,cro,,Crow,,7/29/2009,,,
language,collection,,,crp,,Creoles and pidgins,,10/16/2005,,,
language,,,,crq,,Iyo'wujwa Chorote,,7/29/2009,,,
language,,,,crr,,Carolina Algonquian,,7/29/2009,,,
language,,,,crs,,Seselwa Creole French,,7/29/2009,,,
language,,,,crt,,Iyojwa'ja Chorote,,7/29/2009,,,
language,,,,crv,,Chaura,,7/29/2009,,,
language,,,,crw,,Chrau,,7/29/2009,,,
language,,,,crx,,Carrier,,7/29/2009,,,
language,,,,cry,,Cori,,7/29/2009,,,
language,,,,crz,,Cruzeño,,7/29/2009,,,
language,,,,csa,,Chiltepec Chinantec,,7/29/2009,,,
language,,,,csb,,Kashubian,,10/16/2005,,,
language,,,,csc,,"Catalan Sign Language, Lengua de señas catalana, Llengua de Signes Catalana",,7/29/2009,,,
language,,,,csd,,Chiangmai Sign Language,,7/29/2009,,,
language,,,,cse,,Czech Sign Language,,7/29/2009,,,
language,,,,csf,,Cuba Sign Language,,7/29/2009,,,
language,,,,csg,,Chilean Sign Language,,7/29/2009,,,
language,,,,csh,,Asho Chin,,7/29/2009,,,
language,,,,csi,,Coast Miwok,,7/29/2009,,,
language,,,,csj,,Songlai Chin,,9/10/2013,,,
language,,,,csk,,Jola-Kasa,,7/29/2009,,,
language,,,,csl,,Chinese Sign Language,,7/29/2009,,,
language,,,,csm,,Central Sierra Miwok,,7/29/2009,,,
language,,,,csn,,Colombian Sign Language,,7/29/2009,,,
language,,,,cso,,"Sochiapam Chinantec, Sochiapan Chinantec",,7/29/2009,,,
language,,,,csq,,Croatia Sign Language,,7/29/2009,,,
language,,,,csr,,Costa Rican Sign Language,,7/29/2009,,,
language,,,,css,,Southern Ohlone,,7/29/2009,,,
language,,,,cst,,Northern Ohlone,,7/29/2009,,,
language,collection,,,csu,,Central Sudanic languages,,7/29/2009,,,
language,,,,csv,,Sumtu Chin,,8/12/2012,,,
language,,,,csw,,Swampy Cree,cr,7/29/2009,,,
language,,,,csy,,Siyin Chin,,7/29/2009,,,
language,,,,csz,,Coos,,7/29/2009,,,
language,,,,cta,,Tataltepec Chatino,,7/29/2009,,,
language,,,,ctc,,Chetco,,7/29/2009,,,
language,,,,ctd,,Tedim Chin,,7/29/2009,,,
language,,,,cte,,Tepinapa Chinantec,,7/29/2009,,,
language,,,,ctg,,Chittagonian,,7/29/2009,,,
language,,,,cth,,Thaiphum Chin,,8/12/2012,,,
language,,,,ctl,,Tlacoatzintepec Chinantec,,7/29/2009,,,
language,,,,ctm,,Chitimacha,,7/29/2009,,,
language,,,,ctn,,Chhintange,,7/29/2009,,,
language,,,,cto,,Emberá-Catío,,7/29/2009,,,
language,,,,ctp,,Western Highland Chatino,,7/29/2009,,,
language,,,,cts,,Northern Catanduanes Bikol,bik,7/29/2009,,,
language,,,,ctt,,Wayanad Chetti,,7/29/2009,,,
language,,,,ctu,,Chol,,7/29/2009,,,
language,,,,ctz,,Zacatepec Chatino,,7/29/2009,,,
language,,,,cua,,Cua,,7/29/2009,,,
language,,,,cub,,Cubeo,,7/29/2009,,,
language,,,,cuc,,Usila Chinantec,,7/29/2009,,,
language,,,,cug,,"Chungmboko, Cung",,7/29/2009,,,
language,,,,cuh,,"Chuka, Gichuka",,7/29/2009,,,
language,,,,cui,,Cuiba,,7/29/2009,,,
language,,,,cuj,,Mashco Piro,,7/29/2009,,,
language,,,,cuk,,San Blas Kuna,,7/29/2009,,,
language,,,,cul,,"Culina, Kulina",,7/29/2009,,,
language,,,,cum,,Cumeral,,7/29/2009,2016-05-30,,
language,,,,cuo,,Cumanagoto,,7/29/2009,,,
language,,,,cup,,Cupeño,,7/29/2009,,,
language,,,,cuq,,Cun,,7/29/2009,,,
language,,,,cur,,Chhulung,,7/29/2009,,,
language,collection,,,cus,,Cushitic languages,,10/16/2005,,,
language,,,,cut,,Teutila Cuicatec,,7/29/2009,,,
language,,,,cuu,,Tai Ya,,7/29/2009,,,
language,,,,cuv,,Cuvok,,7/29/2009,,,
language,,,,cuw,,Chukwa,,7/29/2009,,,
language,,,,cux,,Tepeuxila Cuicatec,,7/29/2009,,,
language,,,,cvg,,Chug,,7/29/2009,,,
language,,,,cvn,,Valle Nacional Chinantec,,7/29/2009,,,
language,,,,cwa,,Kabwa,,7/29/2009,,,
language,,,,cwb,,Maindo,,7/29/2009,,,
language,,,,cwd,,Woods Cree,cr,7/29/2009,,,
language,,,,cwe,,Kwere,,7/29/2009,,,
language,,,,cwg,,"Chewong, Cheq Wong",,7/29/2009,,,
language,,,,cwt,,Kuwaataay,,7/29/2009,,,
language,,,,cya,,Nopala Chatino,,7/29/2009,,,
language,,,,cyb,,Cayubaba,,7/29/2009,,,
language,,,,cyo,,Cuyonon,,7/29/2009,,,
language,,,,czh,,Huizhou Chinese,zh,7/29/2009,,,
language,,,,czk,,Knaanic,,7/29/2009,,,
language,,,,czn,,Zenzontepec Chatino,,7/29/2009,,,
language,,,,czo,,Min Zhong Chinese,zh,7/29/2009,,,
language,,,,czt,,Zotung Chin,,7/29/2009,,,
language,,,,daa,,Dangaléat,,7/29/2009,,,
language,,,,dac,,Dambi,,7/29/2009,,,
language,,,,dad,,Marik,,7/29/2009,,,
language,,,,dae,,Duupa,,7/29/2009,,,
language,,,,daf,,Dan,,7/29/2009,9/10/2013,,"see dnj, lda"
language,,,,dag,,Dagbani,,7/29/2009,,,
language,,,,dah,,Gwahatike,,7/29/2009,,,
language,,,,dai,,Day,,7/29/2009,,,
language,,,,daj,,Dar Fur Daju,,7/29/2009,,,
language,,,,dak,,Dakota,,10/16/2005,,,
language,,,,dal,,Dahalo,,7/29/2009,,,
language,,,,dam,,Damakawa,,7/29/2009,,,
language,,,,dao,,Daai Chin,,7/29/2009,,,
language,,,,dap,,Nisi (India),,7/29/2009,2012-08-12,,"see njz, tgj"
language,,,,daq,,Dandami Maria,,7/29/2009,,,
language,,,,dar,,Dargwa,,10/16/2005,,,
language,,,,das,,Daho-Doo,,7/29/2009,,,
language,,,,dau,,Dar Sila Daju,,7/29/2009,,,
language,,,,dav,,"Taita, Dawida",,7/29/2009,,,
language,,,,daw,,Davawenyo,,7/29/2009,,,
language,,,,dax,,Dayi,,7/29/2009,,,
language,collection,,,day,,Land Dayak languages,,10/16/2005,,,
language,,,,daz,,Dao,,7/29/2009,,,
language,,,,dba,,Bangime,,7/29/2009,,,
language,,,,dbb,,Deno,,7/29/2009,,,
language,,,,dbd,,Dadiya,,7/29/2009,,,
language,,,,dbe,,Dabe,,7/29/2009,,,
language,,,,dbf,,Edopi,,7/29/2009,,,
language,,,,dbg,,Dogul Dom Dogon,,7/29/2009,,,
language,,,,dbi,,Doka,,7/29/2009,,,
language,,,,dbj,,Ida'an,,7/29/2009,,,
language,,,,dbl,,Dyirbal,,7/29/2009,,,
language,,,,dbm,,Duguri,,7/29/2009,,,
language,,,,dbn,,Duriankere,,7/29/2009,,,
language,,,,dbo,,Dulbu,,7/29/2009,,,
language,,,,dbp,,Duwai,,7/29/2009,,,
language,,,,dbq,,Daba,,7/29/2009,,,
language,,,,dbr,,Dabarre,,7/29/2009,,,
language,,,,dbt,,Ben Tey Dogon,,8/12/2012,,,
language,,,,dbu,,Bondum Dom Dogon,,7/29/2009,,,
language,,,,dbv,,Dungu,,7/29/2009,,,
language,,,,dbw,,Bankan Tey Dogon,,8/12/2012,,,
language,,,,dby,,Dibiyaso,,7/29/2009,,,
language,,,,dcc,,Deccan,,7/29/2009,,,
